"PAR_anomaly","VPD_anomaly","Pre_anomaly","MCWD_anomaly","WTD","HAND","Drought_Length","EVI_anomaly","SegGeo_number","year","HAND_CLASS","Drought_Condition"
-0.978698,1.57068,-1.40365,-1.92722,16.036,16.036,3,-2.27007,12,"2010",17,"Medium Drought"
-1.0115,1.76953,-0.797604,-1.96142,22.7902,22.7902,3,-2.26897,12,"2010",23,"Medium Drought"
-1.17848,0.968703,-1.505,-1.38383,2.92678,2.92678,2.78261,-2.26609,12,"2010",3,"Medium Drought"
-0.966341,1.50073,-0.72433,-2.10046,20.7349,20.7349,3,-2.26471,12,"2010",21,"Severe Drought"
-0.993315,1.59736,-1.06393,-1.61533,4.51508,4.51508,4.61364,-2.26343,12,"2010",5,"Medium Drought"
-0.533552,1.68782,-1.3529,-1.48531,10.0568,10.0568,2,-2.25994,12,"2010",11,"Medium Drought"
1.877,1.584,-1.91959,-2.16063,22.46,22.46,5.44143,-2.25917,12,"2015",23,"Severe Drought"
1.55302,0.279856,-2.48258,-1.63138,13.8815,13.8815,4.75221,-2.25851,12,"2015",14,"Medium Drought"
-1.16571,1.79395,-0.361867,-1.84369,16.5602,16.5602,3,-2.25579,12,"2010",17,"Medium Drought"
0.119929,1.20987,-0.530234,-1.28545,18.354,18.354,2.76667,-2.25503,12,"2010",19,"Medium Drought"
2.00044,0.888223,-2.21827,-1.82629,8.26486,8.26486,4,-2.25323,12,"2015",9,"Medium Drought"
-1.05071,2.4695,-1.24499,-1.06965,11.1468,11.1468,3,-2.25184,12,"2010",12,"Medium Drought"
-0.82088,1.74254,0.0817781,-1.22318,11.5408,11.5408,2.49431,-2.2491,12,"2010",12,"Medium Drought"
0.699692,0.635604,-1.19764,-1.10727,7.60566,7.60566,2,-2.24436,12,"2015",8,"Medium Drought"
-0.480551,2.20393,-0.600849,-1.38538,4.33815,4.33815,2.31664,-2.24164,12,"2010",5,"Medium Drought"
0.0990518,1.91824,-0.97743,-1.87281,16.7095,16.7095,5,-2.23916,12,"2010",17,"Medium Drought"
2.37941,1.34985,-1.6458,-2.56768,33.7908,33.7908,4.975,-2.23705,12,"2015",31,"Severe Drought"
-0.955132,2.37316,-1.09877,-1.13363,11.287,11.287,3,-2.23639,12,"2010",12,"Medium Drought"
-0.947036,1.85103,-0.891341,-1.35693,9.76626,9.76626,2,-2.23345,12,"2010",10,"Medium Drought"
2.75611,1.64006,-2.30412,-2.56607,6.324,6.324,6.03882,-2.23075,12,"2015",7,"Severe Drought"
1.52029,0.473212,-1.97066,-2.05041,16.0118,16.0118,4.21999,-2.2299,12,"2015",17,"Severe Drought"
-1.19505,2.20717,-0.412548,-2.10492,4.80719,4.80719,4.61661,-2.22945,12,"2010",5,"Severe Drought"
-0.379416,0.933319,-1.18071,-1.0307,9.64744,9.64744,4,-2.22846,12,"2010",10,"Medium Drought"
0.0366419,1.37732,-1.22446,-1.06631,16.6705,16.6705,2.33125,-2.2229,12,"2010",17,"Medium Drought"
-1.07979,1.31264,-0.721584,-2.01625,13.9064,13.9064,2.71734,-2.21934,12,"2010",14,"Severe Drought"
-1.24796,1.37305,-0.568535,-1.65237,13.0733,13.0733,2.25954,-2.21578,12,"2010",14,"Medium Drought"
-0.934761,1.80637,-0.886904,-2.02095,4.88447,4.88447,3,-2.21577,12,"2010",5,"Severe Drought"
-0.716948,2.2868,-1.18863,-1.18893,12.8698,12.8698,2.81844,-2.21332,12,"2010",13,"Medium Drought"
-0.660324,1.30058,-0.928538,-1.25352,13.4984,13.4984,2.47733,-2.21205,12,"2010",14,"Medium Drought"
-0.0715395,-0.128387,-1.16724,-1.11116,20.5693,20.5693,2,-2.21027,12,"2015",21,"Medium Drought"
-0.524404,1.53755,-0.816233,-1.67581,15.3172,15.3172,3,-2.20878,12,"2010",16,"Medium Drought"
2.16519,1.02325,-1.91445,-1.8002,12.9457,12.9457,4.4512,-2.20849,12,"2015",13,"Medium Drought"
-1.01687,1.40778,-1.15126,-2.28682,22.0381,22.0381,3,-2.20725,12,"2010",23,"Severe Drought"
-1.07215,1.39465,-1.06538,-2.33134,12.1942,12.1942,3,-2.20626,12,"2010",13,"Severe Drought"
-0.654782,1.50567,-1.39289,-1.95057,14.2515,14.2515,4,-2.20506,12,"2010",15,"Medium Drought"
1.62518,-0.0144242,-2.00884,-2.25624,13.2021,13.2021,6.09244,-2.20379,12,"2015",14,"Severe Drought"
0.133323,1.98571,-1.21331,-1.31665,37.4963,37.4963,5,-2.20214,12,"2010",31,"Medium Drought"
-0.631607,1.48426,-0.618047,-2.25234,10.8707,10.8707,3.88188,-2.20015,12,"2005",11,"Severe Drought"
-1.12491,1.27495,-0.599504,-1.79503,21.5654,21.5654,2.53015,-2.1941,12,"2010",22,"Medium Drought"
-0.969602,1.45485,-1.20046,-1.94671,16.3691,16.3691,3,-2.19051,12,"2010",17,"Medium Drought"
0.516476,1.45187,-1.1287,-1.19857,10.4862,10.4862,1,-2.18996,12,"2010",11,"Medium Drought"
-0.503767,1.70851,-1.03276,-1.7976,52.7037,52.7037,3,-2.1858,12,"2010",31,"Medium Drought"
-1.14303,1.78865,-0.232294,-2.16205,26.0411,26.0411,3,-2.18084,12,"2010",27,"Severe Drought"
-0.978888,2.26566,-0.704208,-1.36167,6.4059,6.4059,4,-2.17937,12,"2010",7,"Medium Drought"
-0.671443,1.57653,-1.1417,-1.77054,21.9243,21.9243,3,-2.17684,12,"2010",22,"Medium Drought"
-1.47694,0.971561,-0.46912,-1.19283,5.15543,5.15543,2,-2.1766,12,"2005",6,"Medium Drought"
1.30743,1.19083,-0.958609,-1.00208,8.74435,8.74435,3,-2.16286,12,"2015",9,"Medium Drought"
-0.853433,1.65936,-1.04587,-1.56393,22.1287,22.1287,2.89804,-2.1618,12,"2010",23,"Medium Drought"
-0.945128,2.53284,-1.07688,-1.67532,6.02393,6.02393,3.79452,-2.16077,12,"2010",7,"Medium Drought"
-1.14085,1.79097,-0.696547,-1.52419,25.9924,25.9924,2.99421,-2.15943,12,"2010",26,"Medium Drought"
0.0379008,1.84885,-1.13065,-1.61764,7.18887,7.18887,5,-2.15754,12,"2010",8,"Medium Drought"
0.60897,-0.082722,-0.98884,-1.89958,3.10756,3.10756,3,-2.15642,12,"2015",4,"Medium Drought"
-0.515605,1.7187,-1.19834,-1.66006,21.564,21.564,2.49274,-2.15633,12,"2010",22,"Medium Drought"
0.00353331,1.83558,-1.47072,-1.29619,3.89856,3.89856,5,-2.1519,12,"2010",4,"Medium Drought"
1.95246,0.456725,-1.93635,-2.33344,16.7436,16.7436,4,-2.15038,12,"2015",17,"Severe Drought"
2.9837,1.53791,-1.75547,-2.74816,7.20892,7.20892,3,-2.14997,12,"2015",8,"Severe Drought"
1.99589,1.90406,-2.31811,-2.07751,32.7077,32.7077,6,-2.14951,12,"2015",31,"Severe Drought"
-1.21134,1.71113,-1.19137,-2.30861,16.9808,16.9808,3,-2.14943,12,"2010",17,"Severe Drought"
2.29667,1.43715,-1.95061,-1.90602,22.7889,22.7889,5.37011,-2.1474,12,"2015",23,"Medium Drought"
