"WTD","HAND","SoilFertility","SoilSand_content","TreeHeight","MCWD_STD","DrySeasonLength","Long","Lat","SegGeo_number","HAND_CLASS","EVI_anomaly_fit_mean","EVI_anomaly_fit_standardize"
22.0122,22.0122,-0.0516416,0.34,33.8865,88.3181,4.32346,-54.2578,22.4935,12,23,-0.758362468010998,-0.831932236887932
10.399,10.399,-1.04169,0.48,32.1064,16.9103,0,-70.2544,17.492,21,11,-0.664504489816703,-0.540731097738935
13.9242,13.9242,-0.572773,0.42,31.0987,60.2234,3.69556,-57.2584,21.1669,12,13,-0.441053385548372,0.152542051319739
6.89817,6.89817,-0.666949,0.37,32.036,18.7925,0.00431655,-73.5565,22.2436,21,7,-0.362214603437998,0.397145052591889
5.68582,5.68582,-0.775786,0.46,33.1441,27.9522,1.17306,-73.9183,16.4863,21,5,-0.408794556730772,0.25262739174601
11.7714,11.7714,-0.0900754,0.34,34.1326,81.939,6.132,-51.5952,22.1579,12,11,-0.778024752741373,-0.892935891791987
9.06464,9.06464,-0.409007,0.42,28.1817,101.417,7,-59.5474,15.2294,9,9,-0.464268667468709,0.0805149666655949
3.16154,3.16154,-0.356598,0.19,31.9011,43.2646,3.50568,-63.2632,20.8177,12,3,-1.27165414066878,-2.42445663033077
35.9731,35.9731,-0.60573,0.32,33.7899,69.8355,5.5186,-57.9276,18.1723,9,35,-0.126235035376569,1.12928866315555
16.6533,16.6533,0.0158819,0.35,31.1831,65.1914,5,-54.2589,24.8266,12,17,-0.897582841962615,-1.26387347691269
14.0914,14.0914,-0.992915,0.52,31.5003,26.1251,0.0494397,-70.9261,16.1626,21,15,-0.715882640837851,-0.700135512713185
9.88415,9.88415,0.319543,0.25,34.9204,69.6405,5,-68.9426,26.5059,12,9,-1.14873555464429,-2.04309286177805
6.88884,6.88884,-0.30217,0.37,35.8837,64.3109,3.38243,-71.9227,24.826,12,7,-0.430559658456517,0.185099595620779
5.0934,5.0934,-0.998095,0.52,33.1224,26.948,0.360764,-71.257,16.498,21,5,-0.64190955652916,-0.470628689409753
12.0024,12.0024,-1.05691,0.48,30.0596,28.105,0.190222,-72.2493,17.1587,21,13,-0.719654592843463,-0.71183826555297
8.93934,8.93934,-0.998133,0.5,32.6327,26.4408,0,-71.924,17.495,21,9,-0.664131176755168,-0.539572867070967
20.0058,20.0058,0.0384,0.39,32.5697,60.0879,4.16811,-53.9243,23.8256,12,21,-0.73521815303188,-0.760125332281586
10.5931,10.5931,-0.144691,0.31,39.6163,47.3249,3,-73.9221,24.8275,12,11,-0.688816072479172,-0.61615953442623
30.8266,30.8266,-0.107829,0.37,33.6025,84.9166,5.31687,-54.5921,18.4943,9,31,-0.666449895383674,-0.546766858663127
16.8479,16.8479,-0.39868,0.59,29.2727,92.0027,5.79487,-55.9555,19.5872,12,17,-0.137070402744758,1.09567115528443
3.46435,3.46435,-0.796844,0.34,28.4604,40.5048,2.46999,-61.2575,21.8197,12,3,-0.512230496532299,-0.0682900633135798
26.2975,26.2975,-0.531324,0.33,35.6434,91.8462,5,-56.2617,17.8263,9,27,-0.100262016196779,1.20987182633254
20.6054,20.6054,-0.332875,0.34,34.89,101.73,6.40891,-54.9335,20.8283,12,21,-0.410510211284361,0.247304449892767
15.6251,15.6251,0.0365859,0.35,32.4221,49.7078,4.05192,-53.9291,24.1615,12,15,-0.85139859214811,-1.12058351461577
7.66297,7.66297,-0.140861,0.34,35.8717,50.1114,1.46338,-70.5917,22.8256,12,7,-0.682115502598333,-0.595370533642425
20.3144,20.3144,-0.170377,0.31,36.2497,58.9911,4,-55.2613,22.1596,12,21,-0.622724349742794,-0.411105203197065
15.2303,15.2303,0.0706609,0.42,27.2346,67.2459,6.99182,-62.5913,32.4926,12,15,-0.798612321079833,-0.956810305750245
6.37661,6.37661,-0.677609,0.48,32.7502,25.8443,0.537301,-74.261,17.1644,21,7,-0.4256990031262,0.200180128958809
11.8529,11.8529,-1.03159,0.53,30.7088,19.1226,0,-70.9238,17.4903,21,11,-0.763932217036893,-0.849212784501659
40.3384,40.3384,-0.174901,0.42,30.9014,97.6357,5.1782,-54.2631,18.4902,9,41,-0.87881866701402,-1.20565627230904
20.7007,20.7007,0.0180468,0.35,29.2276,96.9031,5.31722,-50.6105,22.8774,12,21,-0.97400272365397,-1.50097166537022
15.1681,15.1681,-0.522441,0.4,33.8116,74.3086,4,-56.9243,21.4943,12,15,-0.32579361198333,0.510143802453943
6.79629,6.79629,-0.800056,0.34,26.7962,68.4437,3.46076,-58.9125,21.1485,12,7,-0.571603415986184,-0.252498823316721
8.86936,8.86936,0.395653,0.32,35.867,69.8485,5,-68.926,26.8241,12,9,-0.671439351188248,-0.562247004751696
