"PAR_anomaly","VPD_anomaly","Pre_anomaly","MCWD_anomaly","WTD","HAND","Drought_Length","EVI_anomaly","SoilFertility","SoilSand_content","SoilClay_content","Tree_Height","WoodDensity","DrySeasonLength","MCWD_STD","SegGeo_number","year","HAND_CLASS","Drought_Condition","Long","Lat"
-0.665372,1.76927,-1.44533,-1.68459,15.4814,15.4814,2.525,-2.52223,-0.185291,0.352833,0.4345,32.4167,0.662392,5,51.4001,12,"2010",16,"Medium Drought",-56.2586,25.314
-0.259721,1.57768,-1.448,-1.04338,16.0677,16.0677,1,-2.50827,-0.58393,0.393809,0.467619,34,0.685565,3,53.0073,12,"2010",17,"Medium Drought",-57.3376,21.5479
-1.12867,2.11934,-0.950798,-1.12307,12.583,12.583,2.77253,-2.5012,0.60895,0.330501,0.383677,38.289,0.597644,5,76.1201,12,"2010",13,"Medium Drought",-70.5946,27.736
-1.57935,1.02504,-1.05325,-1.10531,7.06349,7.06349,2,-2.50058,-0.0512085,0.424211,0.364211,21.2381,0.622609,5,64.8867,12,"2005",8,"Medium Drought",-65.0415,31.5979
-0.763989,2.1826,-0.645609,-1.49771,5.37992,5.37992,3.47664,-2.49986,-0.0896298,0.39,0.346291,21.7383,0.62506,5,62.655,12,"2010",6,"Medium Drought",-64.4804,31.4884
-1.16001,2.24654,-1.47197,-1.2568,12.1818,12.1818,3.06496,-2.4944,0.668896,0.33506,0.372983,37.4338,0.609187,5,76.9044,12,"2010",13,"Medium Drought",-70.9237,27.1869
-0.0376162,1.92351,-0.994134,-1.5674,13.4703,13.4703,5,-2.48727,0.0928572,0.437624,0.354918,26.7714,0.623225,6.20765,73.3934,12,"2010",14,"Medium Drought",-62.9082,32.814
-0.888181,1.58027,-0.995657,-1.25308,19.6686,19.6686,3,-2.47341,-0.394812,0.363197,0.439169,35.315,0.67194,4,57.8975,12,"2010",20,"Medium Drought",-59.2803,24.8508
-0.0581646,1.4846,-0.648854,-1.0409,22.9853,22.9853,3,-2.46647,0.0395694,0.365519,0.42816,29.6038,0.663116,4,66.2401,12,"2010",23,"Medium Drought",-53.3305,23.4321
-0.481784,2.09486,-1.1817,-1.21387,4.35355,4.35355,3,-2.4639,-0.214312,0.43875,0.33375,19.875,0.639683,5,36.0104,12,"2010",5,"Medium Drought",-64.0438,29.9325
-0.503861,1.5326,-1.34362,-1.5308,14.6651,14.6651,1.04936,-2.46236,-0.741803,0.583209,0.311821,26.7243,0.651694,5,56.5453,12,"2010",15,"Medium Drought",-53.6255,28.1673
-0.789205,2.07625,-1.57198,-1.40286,11.4042,11.4042,3.17662,-2.4586,0.456003,0.294104,0.399726,37.6219,0.606103,4.6306,69.163,12,"2010",12,"Medium Drought",-71.9673,26.5442
-0.623261,1.39873,-1.40989,-1.54636,13.1691,13.1691,1.23037,-2.44755,-0.701566,0.625927,0.279424,24.6147,0.643061,5,41.6221,12,"2010",14,"Medium Drought",-57.5782,29.4597
-1.15586,1.87025,-0.556043,-1.89191,4.33462,4.33462,4.64327,-2.44308,-0.0199596,0.314854,0.358743,25.0541,0.612455,5,89.8323,12,"2010",5,"Medium Drought",-65.9682,32.5092
0.945846,0.290196,-1.51775,-1.66195,65.5353,65.5353,3.91187,-2.43891,-0.666141,0.395701,0.398921,33.2248,0.688635,3.59532,78.5668,9,"2015",41,"Medium Drought",-64.5687,14.1851
-0.517749,-0.467416,-1.53471,-1.53856,7.58885,7.58885,3,-2.43088,-0.52873,0.345359,0.371657,39.3481,0.628092,2,45.1981,12,"2015",8,"Medium Drought",-73.0448,23.731
1.87707,1.91799,-1.87417,-2.36378,29.6359,29.6359,3.16667,-2.42197,0.0413289,0.441667,0.42,12.5,0.66977,7,73.3036,12,"2015",30,"Severe Drought",-47.0573,22.4686
1.41609,1.13902,-2.31133,-2.39777,17.8733,17.8733,3.94521,-2.418,0.0247984,0.440137,0.375479,18.0959,0.667388,7,66.0669,12,"2015",18,"Severe Drought",-47.9732,23.1189
-1.34555,1.66642,-0.952267,-1.51913,13.0456,13.0456,3,-2.4131,-0.195777,0.586136,0.28922,24.9322,0.647304,5,61.3899,12,"2010",14,"Medium Drought",-59.1722,28.9022
1.46739,1.13426,-1.88686,-2.60422,14.6173,14.6173,5.9,-2.4119,0.0331772,0.492,0.34,14.1,0.668666,7,108.088,12,"2015",15,"Severe Drought",-46.9376,23.231
-1.16994,2.36431,-0.987429,-1.0939,11.1296,11.1296,3,-2.40887,0.606432,0.275904,0.389854,38.1996,0.611005,5,94.0248,12,"2010",12,"Medium Drought",-70.8747,26.7289
