"WTD","HAND","SoilFertility","SoilSand_content","SoilClay_content","Tree_Height","WoodDensity","DrySeasonLength","MCWD_STD","SegGeo_number","year","Long","Lat"
22.0122,22.0122,-0.0516416,0.34,0.48,33.8865,0.671454,4.32346,88.3181,12,"2015",-54.2578,22.4935
10.399,10.399,-1.04169,0.48,0.3,32.1064,0.66936,0,16.9103,21,"2015",-70.2544,17.492
13.9242,13.9242,-0.572773,0.42,0.48,31.0987,0.689237,3.69556,60.2234,12,"2015",-57.2584,21.1669
6.89817,6.89817,-0.666949,0.37,0.36,32.036,0.62794,0.00431655,18.7925,21,"2015",-73.5565,22.2436
5.68582,5.68582,-0.775786,0.46,0.36,33.1441,0.619202,1.17306,27.9522,21,"2015",-73.9183,16.4863
11.7714,11.7714,-0.0900754,0.34,0.46,34.1326,0.668571,6.132,81.939,12,"2015",-51.5952,22.1579
9.06464,9.06464,-0.409007,0.42,0.42,28.1817,0.69441,7,101.417,9,"2015",-59.5474,15.2294
3.16154,3.16154,-0.356598,0.19,0.4,31.9011,0.672609,3.50568,43.2646,12,"2015",-63.2632,20.8177
35.9731,35.9731,-0.60573,0.32,0.49,33.7899,0.695509,5.5186,69.8355,9,"2015",-57.9276,18.1723
16.6533,16.6533,0.0158819,0.35,0.44,31.1831,0.662975,5,65.1914,12,"2015",-54.2589,24.8266
14.0914,14.0914,-0.992915,0.52,0.3,31.5003,0.662626,0.0494397,26.1251,21,"2015",-70.9261,16.1626
9.88415,9.88415,0.319543,0.25,0.41,34.9204,0.630107,5,69.6405,12,"2015",-68.9426,26.5059
6.88884,6.88884,-0.30217,0.37,0.37,35.8837,0.627926,3.38243,64.3109,12,"2015",-71.9227,24.826
5.0934,5.0934,-0.998095,0.52,0.32,33.1224,0.658825,0.360764,26.948,21,"2015",-71.257,16.498
12.0024,12.0024,-1.05691,0.48,0.34,30.0596,0.643081,0.190222,28.105,21,"2015",-72.2493,17.1587
8.93934,8.93934,-0.998133,0.5,0.32,32.6327,0.637752,0,26.4408,21,"2015",-71.924,17.495
20.0058,20.0058,0.0384,0.39,0.41,32.5697,0.667362,4.16811,60.0879,12,"2015",-53.9243,23.8256
10.5931,10.5931,-0.144691,0.31,0.43,39.6163,0.61757,3,47.3249,12,"2015",-73.9221,24.8275
30.8266,30.8266,-0.107829,0.37,0.42,33.6025,0.691812,5.31687,84.9166,9,"2015",-54.5921,18.4943
16.8479,16.8479,-0.39868,0.59,0.33,29.2727,0.692933,5.79487,92.0027,12,"2015",-55.9555,19.5872
3.46435,3.46435,-0.796844,0.34,0.39,28.4604,0.678952,2.46999,40.5048,12,"2015",-61.2575,21.8197
26.2975,26.2975,-0.531324,0.33,0.47,35.6434,0.697931,5,91.8462,9,"2015",-56.2617,17.8263
20.6054,20.6054,-0.332875,0.34,0.52,34.89,0.685487,6.40891,101.73,12,"2015",-54.9335,20.8283
15.6251,15.6251,0.0365859,0.35,0.43,32.4221,0.666924,4.05192,49.7078,12,"2015",-53.9291,24.1615
7.66297,7.66297,-0.140861,0.34,0.38,35.8717,0.642592,1.46338,50.1114,12,"2015",-70.5917,22.8256
20.3144,20.3144,-0.170377,0.31,0.49,36.2497,0.679681,4,58.9911,12,"2015",-55.2613,22.1596
15.2303,15.2303,0.0706609,0.42,0.36,27.2346,0.623591,6.99182,67.2459,12,"2015",-62.5913,32.4926
6.37661,6.37661,-0.677609,0.48,0.35,32.7502,0.618949,0.537301,25.8443,21,"2015",-74.261,17.1644
11.8529,11.8529,-1.03159,0.53,0.29,30.7088,0.653394,0,19.1226,21,"2015",-70.9238,17.4903
40.3384,40.3384,-0.174901,0.42,0.38,30.9014,0.689224,5.1782,97.6357,9,"2015",-54.2631,18.4902
20.7007,20.7007,0.0180468,0.35,0.42,29.2276,0.661176,5.31722,96.9031,12,"2015",-50.6105,22.8774
15.1681,15.1681,-0.522441,0.4,0.46,33.8116,0.685558,4,74.3086,12,"2015",-56.9243,21.4943
6.79629,6.79629,-0.800056,0.34,0.42,26.7962,0.686259,3.46076,68.4437,12,"2015",-58.9125,21.1485
8.86936,8.86936,0.395653,0.32,0.41,35.867,0.63011,5,69.8485,12,"2015",-68.926,26.8241
5.83868,5.83868,-0.48457,0.23,0.38,28.4558,0.676328,3,54.1432,12,"2015",-62.313,21.5608
13.7223,13.7223,-0.403998,0.4,0.43,36.0007,0.675399,6,86.734,12,"2015",-48.5967,20.8296
7.09594,7.09594,-0.813372,0.36,0.44,30.5799,0.683776,4.21694,73.6947,12,"2015",-58.9281,21.5042
16.1432,16.1432,0.0304657,0.39,0.42,19.8516,0.665113,6.01563,73.2818,12,"2015",-49.3048,23.0957
8.93902,8.93902,0.425432,0.39,0.36,35.8881,0.630112,5,73.6964,12,"2015",-69.2565,26.8263
13.5324,13.5324,-0.727975,1.07,1.13,27.5508,0.686567,5.95738,89.5201,12,"2015",-58.6485,20.3849
6.67402,6.67402,-0.626329,0.26,0.39,29.3453,0.672628,3,39.342,12,"2015",-64.337,20.9393
8.27796,8.27796,-1.03066,0.5,0.33,31.6386,0.674633,0,22.5779,21,"2015",-70.256,17.1599
